Placeholder	Heritability_0.92_Rep_1
A131:81FENABXX:7:D4	0.999015885464778
A188:8042MABXX:3:D3	1.1908132509332
A214N:8042MABXX:3:E11	0.412222904611689
A239:8042MABXX:2:B2	1.23307982188296
A272:8042MABXX:2:B5	0.993475555742636
A3G:3:1:3:81FE8ABXX:4:E10	1.15378396003512
A441:5:8042MABXX:3:C4	0.973355794422893
A554:8042MABXX:2:C6	0.923392971551755
A556:8042MABXX:4:C8	0.303867273327623
A619:8042MABXX:2:D3	1.28166190954946
A632:8042MABXX:2:F4	1.17766257776385
A634:8042MABXX:4:C1	1.2557660615128
A635:8042MABXX:4:H9	0.982416523506801
A641:8042MABXX:3:G6	1.26300123420447
A654:8042MABXX:2:A12	1.01790554439155
A659:8042MABXX:2:D11	1.12656034074946
A661:8042MABXX:4:G3	0.827617397138611
A679:8042MABXX:3:B1	1.12361942558177
A680:8042MABXX:2:C2	1.25292971936367
A682:8042MABXX:2:E5	0.183933373680631
A6:8042MABXX:3:C5	1.05332254814108
AH83:81FE8ABXX:4:G8	1.28142500293525
Ab18:81FENABXX:5:C2	1.29217794657682
Ab24E:81FENABXX:4:A8	1.01286140766815
Ab28A:8042MABXX:4:A5	1.12835442461459
Ab608A:81FENABXX:4:B12	1.31402642411932
Ab610:81FENABXX:6:D1	1.07815537140598
Ab616:81FENABXX:4:E11	1.40245514595895
Ames10244:81FE8ABXX:7:H5	1.13575787879994
Ames10247:81N4HABXX:3:C4	1.28820613782727
Ames10249:81N4HABXX:3:A11	0.409396951358332
Ames10250:81N4HABXX:2:D8	1.02407690046439
Ames10251:81N4HABXX:2:D5	1.21126209831763
Ames10252:81N4HABXX:3:H10	1.06240105263514
Ames10253:81FE7ABXX:7:D2	1.13336855493503
Ames10254:81N4HABXX:3:E9	0.355133093574405
Ames10255:81N4HABXX:4:A3	1.24888372956163
Ames10256:81N4HABXX:2:G10	1.18209478855631
Ames10257:81N4HABXX:3:D2	1.24776462792257
Ames10258:81N4HABXX:3:C2	0.997901245960521
Ames10259:81N4HABXX:3:F12	1.04799113733661
Ames10260:81FE7ABXX:2:H4	1.10164467858547
Ames10261:81N4HABXX:2:H9	1.11017985852185
Ames10262:81N4HABXX:2:C8	1.13241592891709
Ames10263:81FE7ABXX:1:A9	1.11016573707632
Ames10264:81FE7ABXX:3:C6	1.24559895552681
Ames10265:81FENABXX:5:G6	1.13289701632384
Ames10267:81FE7ABXX:6:A9	0.955509806466456
Ames10269:81N4HABXX:3:G7	1.20037690348316
Ames10271:81FE7ABXX:6:H9	1.08815278102935
Ames10272:81N4HABXX:3:F10	1.175155386191
Ames10273:81FE7ABXX:7:C11	0.988165965670831
Ames10274:81N4HABXX:3:E3	1.0243402464899
Ames10276:81N4HABXX:3:D3	0.960568400585992
Ames10277:81N4HABXX:2:G9	1.04047824449048
Ames10287:81FE8ABXX:6:F2	0.984950607144802
Ames12725:81FENABXX:4:A10	1.00089369829498
Ames12726:81N4HABXX:1:E9	1.0931912493291
Ames12727:81FENABXX:5:E6	0.922980184908732
Ames12728:81N4HABXX:1:A5	1.26055129759653
Ames12730:81N4HABXX:2:C4	0.857893113657586
Ames12733:81FE8ABXX:7:B8	1.05156810204204
Ames12736:81FE8ABXX:1:G8	1.27842009811567
Ames12737:81FE8ABXX:7:B2	1.0936477651081
Ames12738:81N4HABXX:1:A4	1.2045952162144
Ames12739:81N4HABXX:2:F1	1.10755440262144
Ames12740:81N4HABXX:2:D1	1.17095736901063
Ames12814:81FE8ABXX:1:C4	1.03179738201584
Ames12815:81FE8ABXX:1:C9	1.23232101379118
Ames12816:D0D0BACXX:3:H9	1.12106509266522
Ames12817:81FE8ABXX:1:D5	1.15559045902436
Ames12818:81N4HABXX:6:H9	1.14870983647953
Ames12819:81FE8ABXX:1:A2	0.975417597455277
Ames12820:81N4HABXX:6:F1	1.07896855137898
Ames12821:81FE8ABXX:1:F3	1.30949229769407
Ames12822:81N4HABXX:6:G5	0.976585802022397
Ames12823:81N4HABXX:6:D3	1.25202542998563
Ames12824:81FE8ABXX:1:H5	1.16816205911888
Ames14111:81N4HABXX:2:C2	1.17557676388402
Ames14112:81FE7ABXX:4:F3	1.1578156636069
Ames14113:81FE8ABXX:7:G1	1.03777992502187
Ames14114:81FE8ABXX:7:D3	1.15043660324901
Ames14115:81FENABXX:2:H5	0.913735554100525
Ames14116:81FENABXX:1:C2	1.21123583009499
Ames14211:81FE7ABXX:5:C11	1.17271452392902
Ames14408:81FE8ABXX:1:H10	1.09732795420288
Ames19001:81FENABXX:3:H12	1.08931448688784
Ames19003:81N4HABXX:3:A6	1.20834046086934
Ames19004:81N4HABXX:3:D12	0.958930642124384
Ames19005:81FE8ABXX:2:B11	0.939191247557022
Ames19006:81FE7ABXX:4:B7	0.993080872791818
Ames19007:81FE7ABXX:3:E6	1.07473334686294
Ames19008:81FE7ABXX:3:H10	0.991535133141413
Ames19009:81N4HABXX:6:E12	1.28051786565436
Ames19010:81FENABXX:7:A3	0.989812027694014
Ames19011:81FE7ABXX:4:F10	1.0356458435041
Ames19012:81FENABXX:1:B7	0.129630591212723
Ames19013:81FENABXX:1:B12	1.10475360847918
Ames19014:81N4HABXX:7:E5	0.98298302641469
Ames19015:81FE7ABXX:5:F8	1.13119175121037
Ames19017:81N4HABXX:7:H9	0.972062470425277
Ames19019:81FENABXX:1:E12	1.05100618500892
Ames19283:81FE7ABXX:2:B1	1.05416619759291
Ames19285:81N4HABXX:1:C8	1.18937167619375
Ames19286:81FENABXX:2:B1	1.08326887104656
Ames19287:81FE7ABXX:5:E3	1.01373941885632
Ames19289:81N4HABXX:6:F3	1.15608210316995
Ames19290:81N4HABXX:6:G1	1.19511052731401
Ames19292:81FE8ABXX:5:A3	0.984338806543233
Ames19294:81N4HABXX:7:H2	0.917645890249145
Ames19310:81FE8ABXX:6:B1	0.414933114286837
Ames19318:81FE7ABXX:4:G1	1.07471913298726
Ames19321:81FE7ABXX:4:G9	1.10503968951
Ames19324:81FE7ABXX:2:H6	1.29331773857349
Ames20116:81FE8ABXX:3:G7	1.08090804890015
Ames20118:81N4HABXX:3:A5	0.943684389701061
Ames20119:81FENABXX:4:C11	1.20287918675515
Ames20120:81FE7ABXX:2:D6	0.978977868912794
Ames20136:81FE7ABXX:1:B2	0.946159619137719
Ames20137:81FE7ABXX:1:B12	0.985271197809384
Ames20191:81FENABXX:6:C11	1.02694178300316
Ames21095:81FE7ABXX:5:D4	1.24573126026512
