0.370917136 0.037   0.028	0	0	0	0	0	0	0	0
1.416813616	1	1	1	1	1	1	1	1	1	1
2.370845592	0	0	0	0	0	0.305085	0.62712	1	1	1
1.430322664	0	0	0	0	0	0	0	0	0	0
2.132152894	0	0	0	0	0	0	0	0	0	0
3.383146238	1	1	1	1	1	1	1	1	1	1
2.324354645	1	1	1	1	1	0.694915	0.37288	0	0	0
2.075318708	0	0	0	0	0	0	0	0	0	0
3.11844679	1	1	1	1	1	1	1	1	1	1
0.060516358	0	0	0	0	0	0	0	0	0	0
4.028912617	1	1	1	1	1	1	1	1	1	1
2.68490608	0	0	0	0	0	0	0	0	0	0
3.056448246	1	1	1	1	1	1	1	1	1	1
3.252493757	0.5	1	1	1	1	1	1	1	1	1
2.701567622	1	1	1	1	1	1	1	1	1	1
2.721872735	0	0	0	0	0	0	0	0	0	0
1.773156762	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5
1.056722427	0.009	0	0	0	0	0	0	0	0	0
1.944945799	0.051	0.042	0.014	0	0	0	0	0	0	0
3.355235363	1	1	1	1	1	1	1	1	1	1
0.710918375	0	0	0	0	0	0	0	0	0	0
2.970258777	1	1	1	1	1	0.84746	0.68644	0.5	0.5	0.5
2.345108621	1	0	0	0	0	0.305085	0.62712	1	1	1
3.206665616	1	1	1	1	0	0.305085	0.62712	1	1	1
2.259445415	0	0	1	1	1	1	1	1	1	1
1.842088964	0	0	0	0	0	0	0	0	0	0
4.070050086	1	1	1	1	1	1	1	1	1	1
2.48461587	1	1	1	1	1	1	1	1	1	1
1.364627082	1	1	1	1	1	1	1	1	1	1
-0.255756877	1	1	1	1	1	1	1	1	1	1
0.939893003	1	1	1	1	0.81301	0.739835	0.6626	0.57317	0.57317	0.54878
2.555167942	0	0	0	0	0	0	0	0	0	0
2.059412028	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
2.281405243	1	1	1	0	0.438095	0.609525	0.790475	1	1	0.666665
-0.274839564	1	1	1	1	0	0.116885	0.24026	0.383115	0.383115	0.42208
0.055908903	0.5	0.5	0.5	0.5	0.5	0.34746	0.18644	0	0	0
3.397721264	1	1	1	1	1	1	1	1	1	1
